vision_distance,n_agents,n_neurons,p,sigma_eff_mean,sigma_eff_std,susceptibility_mean,susceptibility_std,entropy_mean,entropy_std
35,256,64,0.0229741,0.8857175886631012,0.06151348574442937,15.30943043231964,6.494919482540965,2.8072153687477113,0.22465898092472913
35,256,64,0.02380952,0.8857616275548935,0.06349761927639304,17.6188285112381,6.9450310687662595,2.8938990950584413,0.27613889606737735
35,256,64,0.02464495,0.9058190673589707,0.09741362070569291,18.79096121788025,9.10125346117523,3.017185997962952,0.4484558120114573
35,256,64,0.02548037,0.8957842648029327,0.0974117976886537,18.51832159757614,14.56340279865884,2.8121041893959045,0.41025047701399275
35,256,64,0.02631579,0.9258088022470474,0.07668324459802188,14.057454085350036,7.8265578862450935,2.8410815715789797,0.2615716258277857
35,256,64,0.02715121,0.9157875120639801,0.06542900943051123,21.085297083854677,13.68962327318132,2.8971505045890806,0.3125554842586508
35,256,64,0.02798663,0.9107801258563996,0.07006992036784046,17.08106701374054,7.636169961159993,2.8013104677200316,0.2885649772458763
40,256,64,0.00793651,0.002500000037252903,0.00750000011175871,0.0010039850429166108,1.4955009100970034e-05,0.01145477844402194,0.00014109453186392785
40,256,64,0.00877193,0.0037500000558793544,0.008926785668698032,0.001006477535702288,1.780000040615837e-05,0.011478294245898723,0.0001679361943438111
40,256,64,0.00960735,0.0037500000558793544,0.011924240195396842,0.0010064775415230542,2.3776943878374613e-05,0.011478294199332596,0.00022432600841762189
40,256,64,0.01044277,0.00875000013038516,0.014306904141013977,0.0010164475359488278,2.8527967264673058e-05,0.011572357220575213,0.0002691501216158117
40,256,64,0.0112782,0.011666666902601718,0.015229722717351592,0.001023920060833916,3.3429237442183714e-05,0.011641013855114579,0.000311349758874223
40,256,64,0.01211362,0.013750000204890967,0.014737282872792119,0.0010264175245538354,2.938612518066991e-05,0.011666420288383961,0.00027724670180034693
40,256,64,0.01294904,0.028333334159106015,0.021794495669202812,0.0010588100412860513,4.882445520132945e-05,0.011968343798071147,0.00045395468393650304
40,256,64,0.01378446,0.05325000146403909,0.03581385233570797,0.0011161025438923388,8.07496927236147e-05,0.012498269649222493,0.0007448442379508396
40,256,64,0.01461988,0.07900000223889947,0.03570578226268197,0.0012007875193376094,0.0001204131782724951,0.013148454995825887,0.0009071518331290034
40,256,64,0.0154553,0.10893452623859048,0.04679597336570989,0.0013425749726593494,0.00017653920008847834,0.014208922442048789,0.0013786126767470542
40,256,64,0.01629073,0.21329903826117516,0.06480559788509407,0.002509637479670346,0.0009484589906744121,0.020704355044290423,0.004354097681200573
